Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Allow customer reviews?,Sale price,Regular price,Categories,Tags,Images
simple,KLY-HAIR-001,Bringadi Royal Hair Elixir,1,1,visible,"Nourishing Ayurvedic hair oil for stronger roots and shine.","A luxurious blend of Bhringraj, Amla, Brahmi, and Sesame Oil. Helps reduce breakage, supports scalp comfort, and restores natural luster. Ideal for weekly pre-wash rituals.",taxable,1,120,0,0,1,899,1199,"Hair Care,Ayurvedic Oils","bestseller,organic,ritual","https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?auto=format&fit=crop&w=1200&q=80"
simple,KLY-HAIR-002,Amla Revival Scalp Therapy Oil,1,0,visible,"Targeted scalp treatment for dry and flaky scalp.","Infused with Amla, Neem, and Fenugreek extracts. Promotes healthy scalp balance and supports fuller-feeling hair with consistent use.",taxable,1,90,0,0,1,,999,"Hair Care,Scalp Care","new,amla,vegan","https://images.unsplash.com/photo-1598662991655-91f3d89f8f8c?auto=format&fit=crop&w=1200&q=80"
simple,KLY-FACE-001,Saffron Radiance Face Serum,1,1,visible,"Glow-boosting serum with saffron and kumkumadi-inspired botanicals.","A lightweight elixir featuring saffron, licorice, and rosehip oils to visibly brighten dull skin and support even tone. Suitable for PM rituals.",taxable,1,85,0,0,1,1399,1699,"Face Care,Serums","bestseller,saffron,glow","https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=1200&q=80"
simple,KLY-FACE-002,Multani Mitti Detox Mask,1,0,visible,"Classic clay mask for deep cleansing and oil control.","Premium Multani Mitti blended with sandalwood and tulsi extracts. Draws out excess oil, refines pores, and leaves skin refreshed.",taxable,1,140,0,0,1,,749,"Face Care,Masks","multani-mitti,detox,ayurvedic","https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?auto=format&fit=crop&w=1200&q=80"
simple,KLY-FACE-003,Rose & Vetiver Hydra Mist,1,0,visible,"Hydrating facial mist for instant skin comfort.","Crafted with rose water, vetiver, and aloe vera for quick hydration and soothed feel across seasons.",taxable,1,100,0,0,1,499,649,"Face Care,Toners","hydration,rose,vegan","https://images.unsplash.com/photo-1611080626919-7cf5a9dbab5b?auto=format&fit=crop&w=1200&q=80"
simple,KLY-BODY-001,Ubtan Polishing Body Scrub,1,1,visible,"Traditional ubtan-inspired body exfoliator.","A gentle body polish with chickpea flour, turmeric, and almond powder to reveal softer, brighter-looking skin.",taxable,1,110,0,0,1,899,1099,"Body Care,Scrubs","ritual,turmeric,bestseller","https://images.unsplash.com/photo-1601612628452-9e99ced43524?auto=format&fit=crop&w=1200&q=80"
simple,KLY-BODY-002,Sandalwood Body Butter,1,0,visible,"Rich daily moisturizer with warm sandalwood notes.","Deeply nourishing body butter powered by shea, cocoa butter, and sandalwood extract for long-lasting softness.",taxable,1,95,0,0,1,,1199,"Body Care,Moisturizers","sandalwood,luxury,self-care","https://images.unsplash.com/photo-1556228578-0d85b1a4d571?auto=format&fit=crop&w=1200&q=80"
simple,KLY-LIP-001,Kesar Lip Ritual Balm,1,0,visible,"Everyday lip balm with saffron and ghee-inspired nourishment.","Softens dry lips with kokum butter, saffron extract, and vitamin E. Non-sticky comfort with natural sheen.",taxable,1,200,0,0,1,299,399,"Lip Care,Balms","lip-care,saffron,daily-use","https://images.unsplash.com/photo-1512496015851-a90fb38ba796?auto=format&fit=crop&w=1200&q=80"
simple,KLY-LIP-002,Rose Tint Lip Elixir,1,0,visible,"Hydrating lip tint in a soft rose tone.","A buildable rose tint with pomegranate and beetroot pigments for subtle color and moisture.",taxable,1,160,0,0,1,,549,"Lip Care,Tints","tinted,vegan,rose","https://images.unsplash.com/photo-1586495777744-4413f21062fa?auto=format&fit=crop&w=1200&q=80"
simple,KLY-GIFT-001,Radiance Ritual Gift Box,1,1,visible,"Curated face ritual gift set with premium packaging.","Includes Saffron Radiance Serum, Hydra Mist, and Kesar Lip Balm in an elegant box with gift-message option.",taxable,1,60,0,0,1,2499,2999,"Gifts,Gift Sets","gift,limited-edition,bestseller","https://images.unsplash.com/photo-1512909006721-3d6018887383?auto=format&fit=crop&w=1200&q=80"
simple,KLY-GIFT-002,Hair Revival Gift Duo,1,0,visible,"Power duo for scalp and strand nourishment.","Combines Bringadi Royal Hair Elixir and Amla Scalp Therapy in a festive gift box. Ideal for wellness gifting.",taxable,1,75,0,0,1,1799,2199,"Gifts,Gift Sets,Hair Care","gift,hair-ritual,organic","https://images.unsplash.com/photo-1542838132-92c53300491e?auto=format&fit=crop&w=1200&q=80"
simple,KLY-FACE-004,Kumkumadi Night Repair Oil,1,1,visible,"Night ritual facial oil for luminous morning skin.","Inspired by classical kumkumadi traditions, this overnight oil combines saffron, manjistha, and licorice for a rested glow.",taxable,1,70,0,0,1,1599,1899,"Face Care,Serums","night-care,ayurvedic-star,premium","https://images.unsplash.com/photo-1571781926291-c477ebfd024b?auto=format&fit=crop&w=1200&q=80"
